"unidade_ensino","modalidade_ensino","tipo_curso","tipo_oferta","Ano","Status_Matricula","Quantidade"
"CCEI","Educação a Distancia","FORMACAO CONTINUADA","Outros","2010","matriculado",0
"CCEI","Educação a Distancia","TÉCNICO","Subsequente","2010","matriculado",0
"CCEI","Educação Presencial","FORMACAO CONTINUADA","Outros","2010","matriculado",0
"CCEI","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2010","matriculado",0
"CCEI","Educação Presencial","LICENCIATURA","Outros","2010","matriculado",0
"CCEI","Educação Presencial","TÉCNICO","Integrado","2010","matriculado",0
"CCEI","Educação Presencial","TÉCNICO","Subsequente","2010","matriculado",0
"CEST","Educação Presencial","FORMACAO CONTINUADA","Concomitante","2010","matriculado",0
"CEST","Educação Presencial","FORMACAO CONTINUADA","Outros","2010","matriculado",0
"CEST","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2010","matriculado",0
"CEST","Educação Presencial","FORMACAO INICIAL","Outros","2010","matriculado",0
"CEST","Educação Presencial","FORMACAO INICIAL","Subsequente","2010","matriculado",0
"CEST","Educação Presencial","LICENCIATURA","Outros","2010","matriculado",0
"CEST","Educação Presencial","TÉCNICO","Integrado","2010","matriculado",0
"CEST","Educação Presencial","TÉCNICO","PROEJA - Integrado","2010","matriculado",0
"CEST","Educação Presencial","TÉCNICO","Subsequente","2010","matriculado",0
"CGAM","Educação a Distancia","TÉCNICO","Subsequente","2010","matriculado",0
"CGAM","Educação Presencial","BACHARELADO","Outros","2010","matriculado",0
"CGAM","Educação Presencial","FORMACAO CONTINUADA","Outros","2010","matriculado",160
"CGAM","Educação Presencial","FORMACAO CONTINUADA","PROEJA - Concomitante","2010","matriculado",0
"CGAM","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2010","matriculado",33
"CGAM","Educação Presencial","LICENCIATURA","Outros","2010","matriculado",0
"CGAM","Educação Presencial","TÉCNICO","Integrado","2010","matriculado",0
"CGAM","Educação Presencial","TÉCNICO","PROEJA - Integrado","2010","matriculado",0
"CGAM","Educação Presencial","TÉCNICO","Subsequente","2010","matriculado",42
"CGAM","Educação Presencial","TECNOLOGIA","Outros","2010","matriculado",0
"CGAM","Todos","FORMACAO CONTINUADA","Subsequente","2010","matriculado",0
"CPLA","Educação a Distancia","TÉCNICO","Subsequente","2010","matriculado",0
"CPLA","Educação Presencial","ESPECIALIZACAO (LATO SENSU)","Outros","2010","matriculado",0
"CPLA","Educação Presencial","FORMACAO CONTINUADA","Concomitante","2010","matriculado",0
"CPLA","Educação Presencial","FORMACAO CONTINUADA","Outros","2010","matriculado",0
"CPLA","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2010","matriculado",0
"CPLA","Educação Presencial","FORMACAO INICIAL","Outros","2010","matriculado",117
"CPLA","Educação Presencial","FORMACAO INICIAL","Subsequente","2010","matriculado",0
"CPLA","Educação Presencial","LICENCIATURA","Outros","2010","matriculado",0
"CPLA","Educação Presencial","TÉCNICO","Concomitante","2010","matriculado",0
"CPLA","Educação Presencial","TÉCNICO","Integrado","2010","matriculado",208
"CPLA","Educação Presencial","TÉCNICO","Subsequente","2010","matriculado",358
"CPLA","Educação Presencial","TECNOLOGIA","Outros","2010","matriculado",77
"CPLA","Todos","FORMACAO CONTINUADA","Subsequente","2010","matriculado",0
"CRFI","Educação a Distancia","FORMACAO INICIAL","Outros","2010","matriculado",0
"CRFI","Educação a Distancia","FORMACAO INICIAL","Subsequente","2010","matriculado",0
"CRFI","Educação a Distancia","TÉCNICO","Subsequente","2010","matriculado",0
"CRFI","Educação Presencial","ESPECIALIZACAO (LATO SENSU)","Outros","2010","matriculado",0
"CRFI","Educação Presencial","FORMACAO CONTINUADA","Outros","2010","matriculado",0
"CRFI","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2010","matriculado",0
"CRFI","Educação Presencial","FORMACAO INICIAL","Outros","2010","matriculado",0
"CRFI","Educação Presencial","FORMACAO INICIAL","PROEJA - Concomitante","2010","matriculado",0
"CRFI","Educação Presencial","FORMACAO INICIAL","Subsequente","2010","matriculado",0
"CRFI","Educação Presencial","LICENCIATURA","Outros","2010","matriculado",0
"CRFI","Educação Presencial","TÉCNICO","Integrado","2010","matriculado",0
"CRFI","Educação Presencial","TÉCNICO","PROEJA - Integrado","2010","matriculado",0
"CRFI","Educação Presencial","TÉCNICO","Subsequente","2010","matriculado",0
"CSAM","Educação a Distancia","TÉCNICO","Subsequente","2010","matriculado",0
"CSAM","Educação Presencial","FORMACAO CONTINUADA","Outros","2010","matriculado",70
"CSAM","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2010","matriculado",0
"CSAM","Educação Presencial","FORMACAO INICIAL","Outros","2010","matriculado",211
"CSAM","Educação Presencial","FORMACAO INICIAL","PROEJA - Concomitante","2010","matriculado",46
"CSAM","Educação Presencial","LICENCIATURA","Outros","2010","matriculado",0
"CSAM","Educação Presencial","TÉCNICO","Integrado","2010","matriculado",0
"CSAM","Educação Presencial","TÉCNICO","PROEJA - Integrado","2010","matriculado",0
"CSAM","Educação Presencial","TÉCNICO","Subsequente","2010","matriculado",40
"CSSB","Educação a Distancia","TÉCNICO","Subsequente","2010","matriculado",0
"CSSB","Educação Presencial","FORMACAO CONTINUADA","Outros","2010","matriculado",0
"CSSB","Educação Presencial","FORMACAO INICIAL","Outros","2010","matriculado",0
"CSSB","Educação Presencial","FORMACAO INICIAL","Subsequente","2010","matriculado",0
"CSSB","Educação Presencial","LICENCIATURA","Outros","2010","matriculado",0
"CSSB","Educação Presencial","TÉCNICO","Integrado","2010","matriculado",0
"CSSB","Educação Presencial","TÉCNICO","Subsequente","2010","matriculado",0
"CSSB","Educação Presencial","TECNOLOGIA","Outros","2010","matriculado",0
"CTAG","Educação a Distancia","TÉCNICO","Subsequente","2010","matriculado",0
"CTAG","Educação Presencial","BACHARELADO","Outros","2010","matriculado",0
"CTAG","Educação Presencial","FORMACAO CONTINUADA","Concomitante","2010","matriculado",78
"CTAG","Educação Presencial","FORMACAO CONTINUADA","Outros","2010","matriculado",450
"CTAG","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2010","matriculado",0
"CTAG","Educação Presencial","FORMACAO INICIAL","Concomitante","2010","matriculado",0
"CTAG","Educação Presencial","FORMACAO INICIAL","Outros","2010","matriculado",134
"CTAG","Educação Presencial","FORMACAO INICIAL","Subsequente","2010","matriculado",0
"CTAG","Educação Presencial","LICENCIATURA","Outros","2010","matriculado",0
"CTAG","Educação Presencial","TÉCNICO","Integrado","2010","matriculado",0
"CTAG","Educação Presencial","TÉCNICO","PROEJA - Integrado","2010","matriculado",0
"CTAG","Educação Presencial","TÉCNICO","Subsequente","2010","matriculado",70
"CTAG","Educação Presencial","TECNOLOGIA","Outros","2010","matriculado",0
"CTGC","Educação a Distancia","TÉCNICO","PROEJA - Integrado","2010","matriculado",0
"CTGC","Educação a Distancia","TÉCNICO","Subsequente","2010","matriculado",0
"CTGC","Educação Presencial","ESPECIALIZACAO (LATO SENSU)","Outros","2010","matriculado",0
"CTGC","Educação Presencial","FORMACAO CONTINUADA","Concomitante","2010","matriculado",0
"CTGC","Educação Presencial","FORMACAO CONTINUADA","Outros","2010","matriculado",0
"CTGC","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2010","matriculado",0
"CTGC","Educação Presencial","TÉCNICO","Integrado","2010","matriculado",0
"CTGC","Educação Presencial","TÉCNICO","PROEJA - Concomitante","2010","matriculado",0
"CTGC","Educação Presencial","TÉCNICO","Subsequente","2010","matriculado",0
"IFB","Educação a Distancia","FORMACAO CONTINUADA","Outros","2010","matriculado",0
"IFB","Educação a Distancia","FORMACAO INICIAL","Concomitante","2010","matriculado",0
"IFB","Educação a Distancia","FORMACAO INICIAL","Outros","2010","matriculado",0
"IFB","Educação a Distancia","FORMACAO INICIAL","Subsequente","2010","matriculado",0
"IFB","Educação a Distancia","TÉCNICO","PROEJA - Integrado","2010","matriculado",0
"IFB","Educação a Distancia","TÉCNICO","Subsequente","2010","matriculado",0
"IFB","Educação Presencial","BACHARELADO","Outros","2010","matriculado",0
"IFB","Educação Presencial","ESPECIALIZACAO (LATO SENSU)","Outros","2010","matriculado",112
"IFB","Educação Presencial","FORMACAO CONTINUADA","Concomitante","2010","matriculado",78
"IFB","Educação Presencial","FORMACAO CONTINUADA","Outros","2010","matriculado",1046
"IFB","Educação Presencial","FORMACAO CONTINUADA","PROEJA - Concomitante","2010","matriculado",0
"IFB","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2010","matriculado",33
"IFB","Educação Presencial","FORMACAO INICIAL","Concomitante","2010","matriculado",0
"IFB","Educação Presencial","FORMACAO INICIAL","Outros","2010","matriculado",554
"IFB","Educação Presencial","FORMACAO INICIAL","PROEJA - Concomitante","2010","matriculado",46
"IFB","Educação Presencial","FORMACAO INICIAL","Subsequente","2010","matriculado",0
"IFB","Educação Presencial","LICENCIATURA","Outros","2010","matriculado",33
"IFB","Educação Presencial","MESTRADO PROFISSIONAL","Outros","2010","matriculado",0
"IFB","Educação Presencial","TÉCNICO","Concomitante","2010","matriculado",33
"IFB","Educação Presencial","TÉCNICO","Integrado","2010","matriculado",208
